"","subj_id","game_type","num_timed_out","num_not_timed_out","num_NA","total_trials","prop_timed_out","flagged_time_outs","flagged_few_trials","flagged_has_nas"
"48",30,"spatial_recall",41,109,0,150,0.273333333333333,FALSE,FALSE,FALSE
"49",31,"digit_span",150,0,0,150,1,TRUE,FALSE,FALSE
"50",31,"rest_task",99,136,0,235,0.421276595744681,TRUE,FALSE,FALSE
"51",31,"spatial_recall",150,0,0,150,1,TRUE,FALSE,FALSE
"52",32,"digit_span",11,139,0,150,0.0733333333333333,FALSE,FALSE,FALSE
"53",32,"rest_task",35,531,0,566,0.0618374558303887,FALSE,FALSE,FALSE
"54",32,"spatial_recall",18,132,0,150,0.12,FALSE,FALSE,FALSE
"55",33,"digit_span",1,149,0,150,0.00666666666666667,FALSE,FALSE,FALSE
"56",33,"rest_task",34,4,0,38,0.894736842105263,FALSE,FALSE,FALSE
"57",33,"spatial_recall",2,148,0,150,0.0133333333333333,FALSE,FALSE,FALSE
"58",34,"digit_span",5,145,0,150,0.0333333333333333,FALSE,FALSE,FALSE
"59",34,"rest_task",23,526,0,549,0.0418943533697632,FALSE,FALSE,FALSE
"60",34,"spatial_recall",4,146,0,150,0.0266666666666667,FALSE,FALSE,FALSE
"61",35,"digit_span",150,0,0,150,1,TRUE,FALSE,FALSE
"62",35,"rest_task",50,0,0,50,1,TRUE,FALSE,FALSE
"63",35,"spatial_recall",150,0,0,150,1,TRUE,FALSE,FALSE
"64",36,"digit_span",0,150,0,150,0,FALSE,FALSE,FALSE
"65",36,"rest_task",12,588,0,600,0.02,FALSE,FALSE,FALSE
"66",36,"spatial_recall",13,137,0,150,0.0866666666666667,FALSE,FALSE,FALSE
"67",38,"digit_span",20,130,0,150,0.133333333333333,FALSE,FALSE,FALSE
"68",38,"rest_task",84,309,0,393,0.213740458015267,FALSE,FALSE,FALSE
"69",38,"spatial_recall",32,118,0,150,0.213333333333333,FALSE,FALSE,FALSE
"70",39,"digit_span",3,147,0,150,0.02,FALSE,FALSE,FALSE
