"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","min_width","min_height","inner_width","inner_height","stimulus","response","sequence","sequence_length","tile_duration","backwards","responses","score_an","score_pc","score_ls","event_history","success","timeout","failed_images","failed_audio","failed_video","task","correct_response","correct","fixation_time"
"","null","html-keyboard-response","24","105817","0.0-2.0-1.7","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","2675.3000000715256","spatial-recall","25","112701","0.0-2.0-2.7","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[15,9,10,2]","4","677","false","[15,9,10,2]","1","4","4","[{""button"":15,""time"":456.60000002384186},{""button"":9,""time"":1015.1000000238419},{""button"":10,""time"":1407},{""button"":2,""time"":1924.7000000476837},{""button"":""submit"",""time"":2675.3000000715256}]","","","","","","","","",""
"","","screen-check","26","112704","0.0-2.0-0.8","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","27","113206","0.0-2.0-1.8","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","2911.399999976158","spatial-recall","28","120315","0.0-2.0-2.8","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[9,13,0,2]","4","674","false","[9,13,0,2]","1","4","4","[{""button"":9,""time"":774.1000000238419},{""button"":13,""time"":1158.7999999523163},{""button"":0,""time"":1746.1999999284744},{""button"":2,""time"":2217.399999976158},{""button"":""submit"",""time"":2911.399999976158}]","","","","","","","","",""
"","","screen-check","29","120317","0.0-2.0-0.9","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","30","120819","0.0-2.0-1.9","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","2608.5","spatial-recall","31","127622","0.0-2.0-2.9","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[7,14,15,13]","4","673","false","[7,14,15,13]","1","4","4","[{""button"":7,""time"":501.89999997615814},{""button"":14,""time"":884},{""button"":15,""time"":1207.6000000238419},{""button"":13,""time"":1661.2999999523163},{""button"":""submit"",""time"":2608.5}]","","","","","","","","",""
"","","screen-check","32","127624","0.0-2.0-0.10","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","33","128128","0.0-2.0-1.10","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","5784.600000023842","spatial-recall","34","137721","0.0-2.0-2.10","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[11,5,2,10]","4","576","false","[11,5,2,10]","1","4","4","[{""button"":11,""time"":723.3999999761581},{""button"":1,""time"":1241.3999999761581},{""button"":""clear"",""time"":2977.7000000476837},{""button"":11,""time"":3768.5},{""button"":5,""time"":4262.399999976158},{""button"":2,""time"":4699.700000047684},{""button"":10,""time"":5153.800000071526},{""button"":""submit"",""time"":5784.600000023842}]","","","","","","","","",""
"","","screen-check","35","137723","0.0-2.0-0.11","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
